Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
All Livestock,2020,Southern,Euro Million,1671.015145,1873.3353643497758
All Livestock,2020,Mid-West,Euro Million,601.9309472,674.8104789237667
All Livestock,2020,South-East,Euro Million,487.6084659,546.6462622197309
All Livestock,2020,South-West,Euro Million,581.4757322,651.8786235426008
All Livestock,2020,Eastern and Midland,Euro Million,834.0775421,935.0645090807174
All Livestock,2020,Dublin and Mid-East,Euro Million,389.97687,437.19380044843047
All Livestock,2020,Midland,Euro Million,444.100672,497.8707085201793
All Livestock,2021,State,Euro Million,3992.818325,4363.735874316941
All Livestock,2021,Northern and Western,Euro Million,1210.152262,1322.5707781420767
All Livestock,2021,Border,Euro Million,682.380729,745.7712885245902
All Livestock,2021,West,Euro Million,527.7715333,576.7994899453553
All Livestock,2021,Southern,Euro Million,1862.188989,2035.1792229508198
All Livestock,2021,Mid-West,Euro Million,674.2451476,736.8799427322405
All Livestock,2021,South-East,Euro Million,544.7697363,595.3767609836066
All Livestock,2021,South-West,Euro Million,643.1741056,702.9225197814208
All Livestock,2021,Eastern and Midland,Euro Million,920.4770734,1005.9858725683061
All Livestock,2021,Dublin and Mid-East,Euro Million,438.4485539,479.17874743169403
All Livestock,2021,Midland,Euro Million,482.0285195,526.8071251366121
All Livestock,2022,State,Euro Million,4543.251708,4683.764647422679
All Livestock,2022,Northern and Western,Euro Million,1357.733015,1399.7247577319586
All Livestock,2022,Border,Euro Million,760.7672263,784.2961095876287
All Livestock,2022,West,Euro Million,596.9657891,615.428648556701
All Livestock,2022,Southern,Euro Million,2131.951098,2197.887729896907
All Livestock,2022,Mid-West,Euro Million,773.5721411,797.4970526804123
All Livestock,2022,South-East,Euro Million,622.9348447,642.2008708247422
All Livestock,2022,South-West,Euro Million,735.4441121,758.1898062886597
All Livestock,2022,Eastern and Midland,Euro Million,1053.567594,1086.1521587628865
All Livestock,2022,Dublin and Mid-East,Euro Million,489.1863491,504.3158238144329
All Livestock,2022,Midland,Euro Million,564.3812453,581.8363353608247
Cattle,2010,State,Euro Million,1502.3,1827.6155717761558
Cattle,2010,Northern and Western,Euro Million,426.6,518.9781021897811
Cattle,2010,Border,Euro Million,192.4,234.0632603406326
Cattle,2010,West,Euro Million,234.2,284.91484184914844
Cattle,2010,Southern,Euro Million,736.1,895.4987834549879
Cattle,2010,Mid-West,Euro Million,279.8,340.38929440389296
Cattle,2010,South-East,Euro Million,199.6,242.82238442822384
Cattle,2010,South-West,Euro Million,256.7,312.287104622871
Cattle,2010,Eastern and Midland,Euro Million,339.5,413.0170316301703
Cattle,2010,Dublin and Mid-East,Euro Million,151.0,183.698296836983
Cattle,2010,Midland,Euro Million,188.6,229.4403892944039
Cattle,2011,State,Euro Million,1795.1,2124.378698224852
Cattle,2011,Northern and Western,Euro Million,510.4,604.0236686390532
Cattle,2011,Border,Euro Million,230.3,272.5443786982249
Cattle,2011,West,Euro Million,280.1,331.47928994082844
Cattle,2011,Southern,Euro Million,881.9,1043.6686390532545
Cattle,2011,Mid-West,Euro Million,334.8,396.2130177514793
Cattle,2011,South-East,Euro Million,238.9,282.72189349112426
Cattle,2011,South-West,Euro Million,308.2,364.73372781065086
Cattle,2011,Eastern and Midland,Euro Million,402.8,476.6863905325444
Cattle,2011,Dublin and Mid-East,Euro Million,178.4,211.1242603550296
Cattle,2011,Midland,Euro Million,224.4,265.5621301775148
Cattle,2012,State,Euro Million,2119.5,2490.5992949471215
Cattle,2012,Northern and Western,Euro Million,595.6,699.8824911868392
Cattle,2012,Border,Euro Million,268.6,315.6286721504114
Cattle,2012,West,Euro Million,327.0,384.2538190364278
Cattle,2012,Southern,Euro Million,1049.9,1233.7250293772036
Cattle,2012,Mid-West,Euro Million,399.6,469.56521739130443
Cattle,2012,South-East,Euro Million,285.0,334.9001175088132
Cattle,2012,South-West,Euro Million,365.4,429.3772032902468
Cattle,2012,Eastern and Midland,Euro Million,473.9,556.8742655699178
Cattle,2012,Dublin and Mid-East,Euro Million,208.0,244.41833137485315
Cattle,2012,Midland,Euro Million,265.9,312.45593419506463
Cattle,2013,State,Euro Million,2151.8,2519.672131147541
