,Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
122,All Livestock,2021,Northern and Western,Euro Million,1210.152262,1322.5707781420767
123,All Livestock,2021,Border,Euro Million,682.380729,745.7712885245902
124,All Livestock,2021,West,Euro Million,527.7715333,576.7994899453553
125,All Livestock,2021,Southern,Euro Million,1862.188989,2035.1792229508198
126,All Livestock,2021,Mid-West,Euro Million,674.2451476,736.8799427322405
127,All Livestock,2021,South-East,Euro Million,544.7697363,595.3767609836066
128,All Livestock,2021,South-West,Euro Million,643.1741056,702.9225197814208
129,All Livestock,2021,Eastern and Midland,Euro Million,920.4770734,1005.9858725683061
130,All Livestock,2021,Dublin and Mid-East,Euro Million,438.4485539,479.17874743169403
131,All Livestock,2021,Midland,Euro Million,482.0285195,526.8071251366121
132,All Livestock,2022,State,Euro Million,4543.251708,4683.764647422679
133,All Livestock,2022,Northern and Western,Euro Million,1357.733015,1399.7247577319586
134,All Livestock,2022,Border,Euro Million,760.7672263,784.2961095876287
135,All Livestock,2022,West,Euro Million,596.9657891,615.428648556701
136,All Livestock,2022,Southern,Euro Million,2131.951098,2197.887729896907
137,All Livestock,2022,Mid-West,Euro Million,773.5721411,797.4970526804123
138,All Livestock,2022,South-East,Euro Million,622.9348447,642.2008708247422
139,All Livestock,2022,South-West,Euro Million,735.4441121,758.1898062886597
140,All Livestock,2022,Eastern and Midland,Euro Million,1053.567594,1086.1521587628865
141,All Livestock,2022,Dublin and Mid-East,Euro Million,489.1863491,504.3158238144329
142,All Livestock,2022,Midland,Euro Million,564.3812453,581.8363353608247
143,Cattle,2010,State,Euro Million,1502.3,1827.6155717761558
144,Cattle,2010,Northern and Western,Euro Million,426.6,518.9781021897811
145,Cattle,2010,Border,Euro Million,192.4,234.0632603406326
146,Cattle,2010,West,Euro Million,234.2,284.91484184914844
147,Cattle,2010,Southern,Euro Million,736.1,895.4987834549879
148,Cattle,2010,Mid-West,Euro Million,279.8,340.38929440389296
149,Cattle,2010,South-East,Euro Million,199.6,242.82238442822384
150,Cattle,2010,South-West,Euro Million,256.7,312.287104622871
151,Cattle,2010,Eastern and Midland,Euro Million,339.5,413.0170316301703
